MTS,open,close,high,low,volume
2018-07-01 00:00:00,453.85,450.22,456.82,446.16345025,14577.53626005
2018-07-01 12:00:00,454.53,452.03,455.12,444.66,41553.19730306
2018-07-02 00:00:00,452.02,451.1,453.15,443.1,49545.18653742
2018-07-02 12:00:00,451.09,476.8,482.9,449.17,136871.70514403
2018-07-03 00:00:00,476.8,472.52,487.44,464.62,99429.20338648
2018-07-03 12:00:00,472.52,462.01,472.53,459.78,61235.77095432
2018-07-04 00:00:00,462.0,466.0,467.94,451.27,66832.08473573
2018-07-04 12:00:00,466.0,467.47,482.12,463.7,77114.66218639
2018-07-05 00:00:00,467.47,472.31,478.58,461.0,83459.04948783
2018-07-05 12:00:00,472.31,467.52,476.9,458.26327357,106183.57709669
2018-07-06 00:00:00,467.52,462.9,469.59,449.77,65788.34840314
2018-07-06 12:00:00,462.9,470.37,476.44,462.89,68101.22198956
2018-07-07 00:00:00,470.36,471.38,476.87,465.66,16424.81323504
